Nº of code runs;Top 5;Variable;Importance;Classification_type;Supervised_Learning_model
;5;3.54_357.15;0,097559800;Homo_vs_Absent;Boosting
7;1;2.18_281.10;1,000000000;Homo_vs_Absent;Boosting
8;1;2.60_345.12;0,413584938;Homo_vs_Absent;Boosting
;2;2.18_281.10;0,306465937;Homo_vs_Absent;Boosting
;3;5.38_137.02;0,150677796;Homo_vs_Absent;Boosting
;4;4.38_133.10;0,039390433;Homo_vs_Absent;Boosting
;5;4.29_441.18;0,035164262;Homo_vs_Absent;Boosting
9;1;2.18_281.10;1,000000000;Homo_vs_Absent;Boosting
10;1;2.18_281.10;1,000000000;Homo_vs_Absent;Boosting
1;1;3.25_285.10;0,27869633;Homo_vs_Galicia;Boosting
;2;9.80_520.34;0,14060616;Homo_vs_Galicia;Boosting
;3;3.79_575.23;0,12504295;Homo_vs_Galicia;Boosting
;4;2.21_265.09;0,09762417;Homo_vs_Galicia;Boosting
;5;2.61_260.16;0,0624169;Homo_vs_Galicia;Boosting
2;1;1.19_114.06;0,679180375;Homo_vs_Galicia;Boosting
;2;1.99_268.10;0,13054629;Homo_vs_Galicia;Boosting
;3;2.92_453.14;0,125426816;Homo_vs_Galicia;Boosting
;4;2.21_265.09;0,014914704;Homo_vs_Galicia;Boosting
;5;7.53_335.22;0,014914693;Homo_vs_Galicia;Boosting
3;1;9.80_520.34;0,547265475;Homo_vs_Galicia;Boosting
;2;3.30_403.16;0,126146489;Homo_vs_Galicia;Boosting
;3;2.21_135.05;0,121863345;Homo_vs_Galicia;Boosting
;4;9.14_287.24;0,080998839;Homo_vs_Galicia;Boosting
;5;3.72_337.10;0,051273901;Homo_vs_Galicia;Boosting
4;1;5.99_237.19;0,435127063;Homo_vs_Galicia;Boosting
;2;1.28_112.05;0,211638838;Homo_vs_Galicia;Boosting
;3;9.80_520.34;0,122687444;Homo_vs_Galicia;Boosting
;4;11.02_295.23;0,09697117;Homo_vs_Galicia;Boosting
;5;3.72_337.10;0,056103324;Homo_vs_Galicia;Boosting
5;1;9.80_520.34;0,571858567;Homo_vs_Galicia;Boosting
;2;3.21_323.07;0,173776624;Homo_vs_Galicia;Boosting
;3;9.13_271.24;0,109554809;Homo_vs_Galicia;Boosting
;4;3.81_639.10;0,064221761;Homo_vs_Galicia;Boosting
;5;2.21_265.09;0,030221998;Homo_vs_Galicia;Boosting
6;1;5.99_237.19;0,5511592;Homo_vs_Galicia;Boosting
;2;1.28_112.05;0,4488408;Homo_vs_Galicia;Boosting
7;1;9.80_520.34;0,27835155;Homo_vs_Galicia;Boosting
;2;3.25_285.10;0,23480747;Homo_vs_Galicia;Boosting
;3;4.10_191.02;0,14134272;Homo_vs_Galicia;Boosting
;4;2.21_265.09;0,12587004;Homo_vs_Galicia;Boosting
;5;11.02_295.23;0,05729343;Homo_vs_Galicia;Boosting
8;1;9.80_520.34;0,32109668;Homo_vs_Galicia;Boosting
;2;11.02_295.23;0,31637533;Homo_vs_Galicia;Boosting
;3;1.12_133.02;0,06316864;Homo_vs_Galicia;Boosting
;4;4.69_221.05;0,05118035;Homo_vs_Galicia;Boosting
;5;4.16_455.15;0,0440881;Homo_vs_Galicia;Boosting
9;1;9.80_520.34;0,35449662;Homo_vs_Galicia;Boosting
;2;3.30_403.16;0,1322392;Homo_vs_Galicia;Boosting
;3;11.02_295.23;0,10677075;Homo_vs_Galicia;Boosting
;4;3.79_575.23;0,09716845;Homo_vs_Galicia;Boosting
;5;2.21_265.09;0,0800291;Homo_vs_Galicia;Boosting
10;1;11.02_295.23;0,60859399;Homo_vs_Galicia;Boosting
;2;9.14_287.24;0,15079892;Homo_vs_Galicia;Boosting
;3;9.80_520.34;0,11197676;Homo_vs_Galicia;Boosting
;4;2.21_265.09;0,06951383;Homo_vs_Galicia;Boosting
;5;3.25_285.10;0,04816713;Homo_vs_Galicia;Boosting
1;1;4.29_206.07;0,12932221;Rootstock_Graft;Boosting
;2;9.14_287.24;0,08704932;Rootstock_Graft;Boosting
;3;2.56_167.04;0,06982911;Rootstock_Graft;Boosting
;4;5.38_137.02;0,06620779;Rootstock_Graft;Boosting
;5;1.99_268.10;0,06331696;Rootstock_Graft;Boosting
2;1;1.41_175.12;0,13136824;Rootstock_Graft;Boosting
;2;5.93_357.13;0,1038663;Rootstock_Graft;Boosting
;3;3.15_429.17;0,06233659;Rootstock_Graft;Boosting
;4;3.54_357.15;0,05896398;Rootstock_Graft;Boosting
;5;4.29_206.07;0,05032428;Rootstock_Graft;Boosting
3;1;1.99_268.10;0,12546414;Rootstock_Graft;Boosting
;2;4.29_206.07;0,11677473;Rootstock_Graft;Boosting
;3;5.47_385.16;0,06017176;Rootstock_Graft;Boosting
;4;2.56_167.04;0,05203801;Rootstock_Graft;Boosting
;5;3.15_429.17;0,04956164;Rootstock_Graft;Boosting
4;1;3.37_123.04;0,0977697;Rootstock_Graft;Boosting
;2;3.76_135.12;0,09658139;Rootstock_Graft;Boosting
;3;11.02_295.23;0,09604052;Rootstock_Graft;Boosting
;4;1.41_175.12;0,09573964;Rootstock_Graft;Boosting
;5;2.21_135.05;0,06301134;Rootstock_Graft;Boosting
5;1;4.29_206.07;0,15878409;Rootstock_Graft;Boosting
;2;1.41_175.12;0,07665266;Rootstock_Graft;Boosting
;3;1.99_268.10;0,05812401;Rootstock_Graft;Boosting
;4;5.29_337.13;0,05710026;Rootstock_Graft;Boosting
;5;4.38_133.10;0,05558137;Rootstock_Graft;Boosting
6;1;1.41_175.12;0,10263503;Rootstock_Graft;Boosting
;2;3.15_429.17;0,04939286;Rootstock_Graft;Boosting
;3;3.09_147.05;0,03800747;Rootstock_Graft;Boosting
;4;11.02_295.23;0,03616776;Rootstock_Graft;Boosting
;5;1.05_146.12;0,03292011;Rootstock_Graft;Boosting
7;1;4.38_133.10;0,07708059;Rootstock_Graft;Boosting
;2;10.27_518.32;0,07524273;Rootstock_Graft;Boosting
;3;4.29_206.07;0,07334183;Rootstock_Graft;Boosting
;4;1.41_175.12;0,06774386;Rootstock_Graft;Boosting
;5;3.76_135.12;0,05673418;Rootstock_Graft;Boosting
8;1;4.29_206.07;0,13317367;Rootstock_Graft;Boosting
;2;1.41_175.12;0,06235961;Rootstock_Graft;Boosting
;3;2.21_265.09;0,06058449;Rootstock_Graft;Boosting
;4;2.56_167.04;0,05896631;Rootstock_Graft;Boosting
;5;2.21_135.05;0,04981476;Rootstock_Graft;Boosting
9;1;1.41_175.12;0,219761133;Rootstock_Graft;Boosting
;2;11.02_295.23;0,186761558;Rootstock_Graft;Boosting
;3;2.44_166.09;0,185003593;Rootstock_Graft;Boosting
;4;2.31_107.05;0,150846901;Rootstock_Graft;Boosting
;5;7.32_219.10;0,120416004;Rootstock_Graft;Boosting
10;1;4.29_206.07;0,09432579;Rootstock_Graft;Boosting
;2;1.41_175.12;0,07209021;Rootstock_Graft;Boosting
;3;2.31_107.05;0,06622901;Rootstock_Graft;Boosting
;4;4.38_133.10;0,05690505;Rootstock_Graft;Boosting
;5;5.29_337.13;0,05591096;Rootstock_Graft;Boosting
