identifier;N  A2 Gal1;N  A2 Gal2;N  A2 Gal3;N  A2 Gal4;N  A2 homo1;N  A2 homo2;N  A2 homo3;N  A2 homo4;N  A2 sin1;N  A2 sin2 ;N  A2 sin3;N  A2 sin4;N  B16 Gal1;N  B16 Gal2;N  B16 Gal3;N  B16 Gal4;N  B16 homo1;N  B16 homo2;N  B16 homo3;N  B16 homo4;N  B16 sin1;N  B16 sin2;N  B16 sin3;N  B16 sin4;R  A2 Gal1;R  A2 Gal2;R  A2 Gal3;R  A2 Gal4;R  A2 homo1;R  A2 homo2;R  A2 homo3;R  A2 homo4;R  A2 sin1;R  A2 sin2 ;R  A2 sin3;R  A2 sin4;R  B16 Gal1;R  B16 Gal2;R  B16 Gal3;R  B16 Gal4 (1);R  B16 homo1;R  B16 homo2;R  B16 homo3;R  B16 homo4 (3);R  B16 sin1;R  B16 sin2;R  B16 sin3;R  B16 sin4 (3);RS  A2 Gal1;RS  A2 Gal2;RS  A2 Gal3;RS  A2 Gal4 (3);RS  A2 homo1;RS  A2 homo2;RS  A2 homo3 (2);RS  A2 homo4 (2);RS  B16 Gal1;RS  B16 Gal2;RS  B16 Gal3;RS  B16 Gal4 (1);RS  B16 homo1;RS  B16 homo2;RS  B16 homo3;RS  B16 homo4 (3);S  A2 sin1;S  A2 sin2;S  A2 sin3;S  A2 sin4 (2);S  B16 sin1;S  B16 sin2;S  B16 sin3;S  B16 sin4 (2);SS  A2 Gal1;SS  A2 Gal2;SS  A2 Gal3;SS  A2 Gal4 (3);SS  A2 homo1;SS  A2 homo2;SS  A2 homo3 (1);SS  A2 homo4 (2);SS  B16 Gal1;SS  B16 Gal2;SS  B16 Gal3;SS  B16 Gal4 (3);SS  B16 homo1;SS  B16 homo2;SS  B16 homo3 (1);SS  B16 homo4 (2)
4.09_465.10;28486,82;74917,06967;21626,97;22458,26534;128620,34;176567,2853;170496,7913;178581,7854;334803,66;189152,69;105008,66;250521,3889;35822,66984;20354,56;23485,18722;20574,19;138090,7;194217,84;124019,17;132710,5187;145150,14;214451,38;366669,3527;376411,62;3016823,661;2667137,178;2604658,609;2564972,894;2465696,8;3135285,2;2368957,885;2494287,8;2405860,034;2820890;3277649,2;3033576,8;2803540;2453191,2;2556896,8;2871743,5;3081461,732;3581864,173;2640621,2;3294983,535;1831182,5;2227299,5;2655732,5;2586749,2;1325173,742;1121794,6;1300192,5;1328580,8;1789789,4;1344987;1239771,8;1273079,9;1101954;1349345,298;1162871,5;1122598;1221198,2;1208987,8;907552,0433;922533,5;1837909,4;2540003,626;2583678,363;1837630,73;1720842,8;2055914,9;2087499,1;2000582,9;1893972;2030978;2129275,2;1965855,191;1870044,589;1494161,8;1445280,1;1498708,746;2601718,791;2149931,075;2860698,901;2264821,5;1135671,889;1160171,868;1267707,928;1168772,9
2.31_107.05;189132,14;122981,77;158265,7;132252,7;285089,38;161557,94;175081,14;158947,3;187408,56;319097,2;310225,5;324716,4;113476,34;131595,47;171778,31;183569,3;101798,69;234140,64;131470,27;134574,86;297930,03;384006,84;118228,52;117365,14;122890,38;87787,21;102406,27;99729,53;77746,8;93365,65;77511,38;81885,76;102976,48;190500,2;175367,66;186316,92;143204,33;181129,92;134747,48;138359,31;132224,34;131251,31;99397,88;93901,55;97873,8;165908,92;140288,67;142873,7;83540,26;133537,6;232119,55;234378,19;87763,11;103647,9;102996,12;103823,88;99658,2;69526,34;117365,87;94559,65;174916,22;180474,6;125508,78;131588,62;111530,44;204546,11;211642,44;196513,05;110681,61;178819,66;163507,11;187388,14;168765,11;144743,03;160684,94;142769,03;152572,28;101591,03;151724,14;90042,98;115043,96;85425,48;130253,69;142012,64;59425,12;135526,52;80525,5;65037,91
3.11_211.06;19297,65;15343,91;21227,16;20763,09;10553,62;20739,97;24852,02;22831,71;18519,57;14932,54;23678,44;10234,2;13609,48;27274,73;24203,57;31671,15;12879,06;16274,03;15822,02;12589,84;11644,21;10198,01;7618,21;9271,45;10545,42;15379,6;19276,45;16932,27;15943,62;17909,49;17710,72;19100,6;11059,37;24272,53;20237,86;27167,71;22005,43;21297,15;17963,29;21073,06;22645,5;20448,47;14940,82;15528,93;15541,95;21799,37;17321,47;19433,27;11603,81;17329,74;10296,93;11566,16;14001,18;16358,45;14008,44;15906,05;19996,6;13188,39;18697,38;22090,17;11969,62;13601,79;19014,12;21963,65;29500,51;36373,44;27559,35;32767,41;21429,29;41249,32;30913,74;46595,89;25978,8;131024,28;161364,52;129596,64;21801,13;40087,17;22387,16;31923,21;221010,69;57171,67;94938,4;99698,7;39119,28;23486,92;35661,13;57383,19
8.40_243.20;70319,02;64005,76967;58738;69020,3626;68321,23;73969,4658;84632,68298;63836,08502;55777,46;50945,5;46560,79;54912,86655;47860,01004;70115,27;69538,75221;57680,54;33475,35;51967,07;55827,93;60448,81562;41021,78;30113,38;30505,30275;27497,64;2496,387998;2838,381249;2482,707645;2547,0528;306,69;316,75;2571,851846;9,465;2752,382673;9,465;9,465;9,465;9,465;9,465;9,465;333,18;2604,328085;202,7299472;9,465;7,390098018;9,465;9,465;9,465;9,465;3163,143639;9,465;259,97;296,86;9,465;283,88;317,84;9,465;9,465;2953,632577;666,23;272,53;279,81;9,465;3460,132655;1156,27;3278,2;116,5706956;7167,504986;6262,946544;9,465;1837,97;760,2;1421,39;12349,76;4566,1;4173,02;7203,410464;14533,91409;19229,1;10753,15;25367,15062;73,90098018;7623,857463;251,458528;12021,56;6541,381046;5068,006258;21309,45828;4902,03
1.12_115.00;14829,23;14286,27498;7698,7;12345,97737;5953,04;5570,93247;5983,504317;5570,11492;4239,15;5290,95;76618,67;8146,28032;26738,54177;3827,39;65981,08183;95317,33;7021,2;2772,24;6812,53;7538,380562;62926,76;8223,72;8566,04992;4587,92;10352,36765;13156,15481;12667,23597;12503,99829;10460,23;10889,78;14009,84153;10035,27;9478,047494;8143,36;6224,69;6837,22;7560,94;6508,36;6019,21;5999,42;12841,52227;10527,01309;5541,68;10000,17289;6995,22;10181,06;7080,91;7771,69;8418,610442;3667,57;4249,09;3729,25;3911,01;3718,59;4205,93;3587,26;4248,28;5355,830917;5246,09;4715,61;4457,82;3847,69;10362,45078;4798,58;7525,3;20063,98729;16205,77835;18276,07945;14438,56;12911,47;10724,21;11861,47;5660,13;5140,93;3681,58;9495,06034;12417,45716;6851,78;4397,77;14481,34265;13190,11865;8882,613442;14126,4632;7138,25;13767,72965;11909,79446;16447,57609;6355,87
9.68_245.23;4302,41;3216,27;132582,23;108790,04;25945,97;2915,57;39501,82;4285,79;85574,09;155776,19;4920,83;141496,11;116182,65;121487,41;133128,78;200390,2;3863,37;4634,78;6394,16;3506,25;5569,79;4886,69;4626,49;1350,5;3401,52;3087,55;3146,85;3040,01;3302,74;5843;4254,45;5395,95;4022,39;5591,99;2833,59;4850,58;4011,33;4591,74;5121,96;4813,82;3410,66;3712,22;4738,99;4099,84;4155,07;5209,46;4858,5;5472,84;3556,68;4570,82;5297,17;4548,12;5504,97;5445,64;4812,19;5231,8;4890;3595,51;5906,11;4719,22;3679,62;4560,64;3983,61;4962,46;5454,07;1049,28;5519,37;1744,39;5660,32;4871,12;4094,46;5380,01;5097,29;5003,96;6253,6;4269,24;4837,55;4699,31;4865,22;4435,3;6085,89;5018,8;6106,82;5932,65;2944,28;3891,05;3012,9;4327,45
3.58_135.04;5492,04;2976,09;3474,98;3868,23;6105,57;13194,86;15316,41;14829,95;96113,4;121672,87;20910,99;102318,45;5923,25;3389,96;3928,32;5300,09;23739,95;43083,6;40700,73;33542,03;28948,01;201761,88;118984,98;130046,03;3394,85;3675,01;3111,38;1608,29;3106,65;3385,01;3196,46;3132,02;1756,27;3791,15;4153,51;3987,35;4657,76;4051,85;3617,43;4674,07;4425,19;5293,88;4505,55;3862,59;2935,54;3641,52;3724,04;4514,68;6851,78;7765,37;19139,69;22788,03;6909,01;6697,04;5715,81;6083,1;20022,54;2605,71;27897,8;21769,61;11860,84;14828,07;4004,1;4725,16;186640,33;341931,3;241320,9;304577,47;510215,7;530988,5;326654,03;522648,25;21905,69;7587,83;26412,18;20424,02;16307,6;24368,5;16570,81;20922,38;15189,71;4870,52;11660,46;11925,44;61867,69;134186,47;51963,62;75910,12
2.09_205.04;30243,76;65361,13682;47371,48;73150,23301;15726,96;35439,16836;36554,07165;32341,77139;26164,45;24866,38;31787,28;34257,35561;69735,19802;35137,93;63146,38345;42898,71;15805,02;17636,13;15949,66;23308,81422;12562,9;24776,46;31369,38405;21150,94;9505,945447;7135,943043;12811,28845;14220,39595;3633,37;7008,98;6740,443028;4906,15;6951,838351;9011,03;7495,4;9340,2;19359,04;8173,26;10881,19;14089,1;14915,18969;12468,6374;9421,54;10656,56038;6120,53;8865,06;3939,36;3754,75;7102,135364;6035,24;7195,04;6775,8;3115,04;3892,62;3973,52;4635,91;12069,21;5960,880925;6882,98;14336,11;5498,15;4055,62;14175,65644;10060,2;11859,95;23564,57483;25476,303;29600,54634;7770,52;24873,28;7412,58;22205,44;14147,22;44013,11;57873,82;91579,20228;12970,84394;14378,3;8573,83;19338,81785;132587,2359;36707,75831;63844,81744;46199,79;12801,29097;13804,46494;21192,53292;7811,19
3.21_119.05;555412,2;514341,34;636356,56;609749,06;302733,7;241448,16;308182,75;251126,53;206557,1;121002,34;265627,1;80642,17;519793,12;524925,56;604089,2;828437,8;581971,4;593622,3;234985,53;533763,2;561227,56;320449,97;348216,4;436603,75;7445,01;6489,1;4930,51;4465,28;3480,62;6171,84;3128,74;3519,04;6824,16;4712,29;4340,94;6118,14;16926,37;15949,28;20180,56;18899,67;16176,03;32909,36;18523,19;16289,35;3032,22;4840,53;21881,61;22630,74;83210,87;89632,34;114619,15;103914,34;131379,81;104278,64;104291,43;86385,98;133938,14;147883,94;182798,62;176748,05;161728,36;173540,34;99546,32;120518,33;161646,48;110668,7;116514,11;91153,45;72153,88;45024,18;132639,2;123479,78;434125,6;346942,2;282965,6;213715,38;169446,23;154255,05;169023,88;141130,56;336454,5;269656,6;326199,12;275133,44;197783,7;215662,55;134236,4;264717,28
4.77_165.09;12776,4;16043,96;14887,62;13881,12;15381,62;10406,85;14852,97;11358,43;42870,54;36734,12;10300,06;39374,37;17294,53;12803,21;12843,98;15106,69;11633,99;15326,36;13096,08;13130,14;12812,88;18605,02;15646,89;15564,67;9749,24;8848,11;9807,98;6690,7;7633,9;10026,24;7300,56;7698,86;4221,12;6245,25;8661,79;7012,68;19513,01;13498,38;12328,19;20118,5;15206,12;13618,55;14953,28;15175,29;9641,25;8069,99;7198,58;8372,83;74541,77;51397,8;73582,72;72638,23;53806,57;40641,48;40296,58;38979,44;31544,06;31108,84;35181,25;32529,5;30962,82;38619,31;55927,79;61298,47;74918,42;43579,25;55042,65;39201,3;25567,82;29427,16;12837,49;27844,05;105736,67;212883,39;218091,69;199495,25;38716,36;28065;39617,79;25096,82;215391,19;155162,03;190281,02;214701,17;9152,37;15890,64;13845,3;10480,56
3.64_105.07;14574,68;19390,19;16937,83;15510,28;80364,03;63915,87;75511,42;64675,03;64570,7;76484,06;71979,27;75064,26;22675,79;14551,23;13154,77;16354,72;87826,73;78162,38;73877,02;68235,06;78690,86;78660,66;73576,96;83894,45;71110,96;55012,39;66973,55;62205,45;50257,94;65125,81;50642,94;50838,15;45567,03;85341,5;79854,52;91479,62;85994,52;78495,46;60363,62;84231,8;83107,96;74436,88;59125,13;59430,16;36592,73;52698,04;50632,52;49023,29;117946,91;147423,42;143140,69;148854,56;134151,67;128750,31;120467,66;110969,94;119408,88;114730,58;125597,49;131768,28;143136,4;143374,56;111926,93;122531,43;141192,38;124735,85;129668,25;109417,47;114902,05;112410,64;90844,02;107743,02;36652,41;33422,28;37670,13;10161,43;120155,55;95297,55;119247,51;89027,98;13958,54;29022,45;31213,18;30588,94;91479,63;98088,34;97331,94;109341,12
4.49_593.10;25,176;19,60253643;25,176;19,60253643;25,176;19,60253643;19,65695802;19,60253643;25,176;299,25;25,176;250,2562454;19,60253643;25,176;19,60253643;25,176;25,176;25,176;25,176;19,60253643;25,176;25,176;196,0253643;25,176;28174,73745;48102,04406;26305,14632;28174,78417;19599,07;37432,08;22776,8922;20620,68;14514,86224;18575,07;14377,37;17052,39;15663,31;10137;12721,25;10930,84;19455,0736;9597,297382;12892;9932,252697;19679,07;15639,13;6131,23;5412,02;19,60253643;25,176;25,176;25,176;25,176;25,176;25,176;25,176;25,176;19,60253643;25,176;25,176;25,176;25,176;19,60253643;25,176;25,176;19,65695802;19,65695802;19,60253643;320,22;25,176;25,176;25,176;25,176;25,176;25,176;19,60253643;19,65695802;25,176;25,176;19,60253643;19,65695802;19,60253643;19,65695802;25,176;19,60253643;19,60253643;19,60253643;25,176
8.22_315.20;6810,64;20310,30199;4572,93;5662,085511;90888,29;68697,20417;66570,04198;71130,25922;117555,85;87714,07;19960,64;105497,338;27438,14738;8670,43;8721,937424;6767,73;176951,95;78525,69;146447,44;147372,9995;117226,56;55820,35;19759,94225;21904,77;240727,2762;163876,2079;117421,1476;158463,9115;92674,8;227836,6;85784,34649;94035,52;131920,453;142388,44;238934,89;124370,26;457226,88;268658,97;260694,1;395355,4;269171,0424;307381,4649;324540,7;302129,5373;315686,22;132603,5;170895,81;155935,14;569793,5121;577413,5;501404,84;442807,84;429313,3;377425,12;455876,12;469486,03;294934,6;439822,1006;468360,06;281132,25;498152,12;372429,75;681200,7547;671243,56;700743,9;81248,80668;298675,8826;81150,75567;68614,87;423824,97;163754,08;392293,47;209057,6;116868,49;263487,84;280971,0515;499571,4849;111027,73;470952,22;110674,1875;176390,8805;163851,1831;128402,7383;139482,17;93024,19637;257563,1267;194562,5944;67830,49
3.23_144.08;10051,9;29524,94;57324,77;56708,91;9856,72;3881,21;4671,89;4282,82;8004,54;9695,95;9443,03;7423,56;43502,98;10264,89;30110,6;32609,13;30577,04;6046,15;4775,66;5188,22;37661,52;28382,25;19343,95;24369,32;4461,38;111162,86;110045,23;98573,22;159934,11;29396,72;179568,95;181082,33;115032,03;280914,84;7498,01;269099,9;387232,72;85812,22;5530,24;373914,22;4490,61;125189,48;755120,94;733091,1;636401,4;561020,4;160442,48;163224,64;158,2;328,21;758,61;1160,4;278,69;709,3;6,437;64,37;2186,13;380,75;791,03;2198,91;355,14;1335,75;494,67;1111,14;1628,99;2381,44;2405,58;2181,44;998,13;2294,15;328,75;2144,32;1641,9;2155,1;4529,05;3303,64;2444,13;1197,14;2143,81;1736,42;3234,45;2025,11;3245,57;2820,77;1315,82;1714,65;1469,53;1445,06
4.54_509.23;79225,62;131157,7947;125184,16;125818,6496;108846,79;126092,6771;124900,8937;127189,2388;99646,4;111833,66;78797,55;129403,8754;150482,1302;78570,48;128675,5932;119929,71;103156,07;120473,49;112881,64;135428,136;104473,07;123567,7;158748,9331;135003,72;117249,6721;150059,3552;146850,9893;149386,7132;75324,84;96223,2;87046,72305;75385,41;72253,08372;81632,09;78101,55;78439,71;274194,66;180669,5;205861,33;247099,22;282528,7975;201419,6395;192241,4;191250,7007;96855,12;118743,18;86482,65;88748,32;450449,7961;755044,9;391713,75;400560,16;626128,75;589346,4;579113,06;565293,6;494428,44;814570,3362;495496;514915,9;470635,34;436467,75;919038,4787;888028,5;528502,56;325776,836;330387,3046;343960,434;254066,45;265070,6;185232;261415,69;302879,78;376758,28;371744,56;402169,2067;427798,6811;420029,28;399893,12;421610,0237;346873,6802;323620,1084;309569,7147;344227,4;564038,6151;394039,7134;558724,8919;536077,6
2.65_481.10;11003,21;12510,3129;8265,78;8801,66811;47347,86;33030,93572;38086,66788;10483,0668;37306,5;53004,16;19975,03;52370,13509;11529,71112;11520,53;12809,66114;13498,12;10429,44;20967,28;20199,72;17162,85533;15208,47;37352,21;25623,79155;23771,37;717,7630357;204,9561354;290,9469252;406,0658882;1746,72;26,323;886,9026523;2065,96;981,7930684;303,82;269,76;2194,4;1444,19;875,67;3843,95;2818,62;20,49561354;670,44156;380,83;514,2618129;655,55;3162,05;2656,04;2761,47;135657,8989;106260,17;74208,43;63519,63;166311,72;157225,19;154723,69;144311,69;22020,5;85856,52456;33194,71;22470,15;56357,5;35171,45;43411,59063;45435,47;84968,34;141296,2459;122408,9121;112066,469;9237,92;33685,52;33441,39;34960,38;73676,54;160318,75;57177,09;62281,66368;156812,5706;133173,03;123112,71;121767,015;52154,91601;242098,1301;115343,3538;104185,36;57915,98821;41771,22521;21874,26921;58717,79
6.68_329.07;1002864,25;1459200,089;694552,3;744677,9037;1932631,9;690009,7107;755204,3056;640618,2252;488282,94;993235,3;625686,3;890913,7131;1390862,872;803733,75;831476,6674;875771,4;199066,6;821224,4;576958,8;501840,0846;350227,6;466074,75;555497,3097;583640,75;407,6620591;359,9715858;201,9895933;947,0199004;7,426;1039,04;5,782031917;7,426;2240,307675;4018,47;2428,84;1776,45;1139,62;1840,97;2156,32;660,72;359,3331174;2488,936604;1583,76;1242,676408;1227,17;264,89;255,34;7,426;1628,787335;1553,7;1326,74;2682,4;1405,99;1251,43;856,56;782,51;1539,47;402,7956843;2725,19;3674,41;991,5;1500,41;3172,75181;22999,43;5280,47;1304,920319;2710,639544;3588,636096;2825,38;2972,8;837,37;2964,15;1428,99;2412,18;1138,07;1973,318886;2601,57216;4585,65;3119,3;3493,348583;1646,738703;1153,774648;1332,021249;2363,36;4937,260392;4386,955154;2961,86259;1868,14
6.63_331.08;584680,25;956169,8;595725;546893,2;1793295,5;597634;582270,6;620540,9;514433,12;1164472,4;650824,6;754588,5;956269,9;690824,6;454574,56;726781,2;156389,36;746975,9;556881,8;469445,47;313978,53;562172,6;676427,8;902573,25;256,27;258,72;25,627;25,627;25,627;644,18;25,627;260,74;1291,15;4327,41;25,627;1660,07;988,31;1652,24;1827,58;711,43;25,627;1341,34;1654,79;945,33;275,63;473,55;25,627;25,627;25,627;258,22;25,627;25,627;264,83;507,06;25,627;25,627;25,627;25,627;1734,15;2739,01;275,56;830,65;1996,53;781,68;945,55;1731,18;1524,58;1830,66;1411,82;2085,41;531,86;1749,5;552,24;2203,93;737,68;532,72;2125,3;3507,84;2926,57;2799,57;427,39;25,627;972,77;2117,22;2200,6;2769,53;2790,52;1143,67
2.27_153.02;9441,81;11186,47987;10840,09;9761,511881;13630,25;11456,55199;15539,95901;11635,2842;17896,94;19020,81;12636,44;18950,23977;12228,17217;9536,05;10271,31331;11290,47;13569,08;15239,06;13435,41;13482,06956;16366,46;20307,06;19949,8788;21196,65;36414,49888;25457,57176;27997,46126;28200,72;19809,38;35874,13;15067,84593;19765,58;30438,94097;31824,08;43473,4;34256,34;32071,65;38429,28;36739,31;33653,38;26283,22038;39647,45034;39529,74;44218,57536;8979,94;18795,65;23833,71;23843,08;63021,11907;52044,79;62495,92;64359,09;46243,22;61274,61;62051,78;56469,48;65607,32;40673,26205;50702,25;74257,16;55408,13;49519,09;43418,93301;44290,81;71784,46;76105,53269;81208,34657;57611,7736;48248,75;41110,04;31857,98;40249,21;34636,9;36727,88;30524,62;27070,97356;38663,62646;31116,09;34893,31;29779,03719;40613,71444;35767,32554;49466,67709;40558,95;31132,41107;34929,02434;42608,81786;30458,08
3.10_155.07;52314,61;43643,61;30463,48;31631,74;43659,12;27154,35;29745,47;30519,29;46842,16;64711,83;24980,51;50946,14;36166,69;47416,53;33723,74;42945,07;19135,6;37286,32;29478,34;25734,41;23578,69;54970,48;43085,83;43776,54;119283,23;144483,08;123721,13;120421,95;92793,7;145458,95;89397,2;96924,75;100866,53;159945,58;144758,34;158804,64;101466,45;103276,84;98416,91;87271,02;107201,52;92476,7;101331,26;94935,8;49640,28;86981,66;102597,05;109520,46;34105,13;36567,05;39698,58;40924,74;25764,64;28146,85;26436,49;28444,41;20212,15;13830,13;14342,3;20090,24;24766,84;17251,06;15465,46;15028,68;26280,64;28745,26;28070,55;26981,31;23323,64;18722,22;15429,5;19238,7;18304,65;24247,33;22579,18;20698,02;20804,54;14537,93;20826,73;12241,05;20114,39;21233,71;18097,47;20994,12;10547,45;9487,23;8381,13;13229,86
3.06_493.16;12613,93;20295,44592;18106,69;29695,12531;11733,9;12385,65584;15192,13642;15002,13819;3580,77;3807,05;11210,34;2367,580896;18292,74192;13842,96;29189,52065;25669,68;6582,07;17219,93;11330,22;11960,48262;8132,2;6507,13;1477,657198;3460,42;104524,3666;142381,9754;127006,3332;127713,7484;78258,38;70173,31;84462,90382;80784,3;54322,57917;71461,34;59417,34;65903,02;89600,55;77726,7;88133,95;80657,48;106134,5995;81296,72325;100065,29;101049,1318;37336,86;84544,66;62435,68;61167,89;5837,415156;3876,74;6952,82;7066,9;1481,36;324,99;5980,68;6362,6;5096,02;987,897449;4588,46;5506,96;32,499;4250,85;1021,121163;32,499;5084,25;5877,911411;4723,346208;1049,003544;6714,28;1469,02;2471,72;2493,9;1662,09;1752,39;1655,08;3439,530371;744,2566542;32,499;1287,95;25,30437049;960,8610908;4024,063743;1119,422222;2715,93;25,30437049;25,30437049;1281,538399;32,499
7.45_247.13;2846,25;5637,16;3338,41;2824,03;6720,7;16202,58;18124,29;15785,14;20328,83;4237,52;2442,77;2810,43;2499,28;11698,03;2506,28;2545,63;14203,9;4906,21;5639,12;4318,67;6986,23;3991,15;13869,65;12348,64;7886,54;4012,99;4459,24;5378,49;5450,93;7160,14;133,471;2336,72;1719,9;13134,85;11723,08;5014,28;21719,51;61566,11;23819,79;38336,65;11041,49;5753,71;54292,5;27313,85;31571,39;1505,55;1334,71;1773,7;177973,45;633122,75;793427,4;709238,06;941317,94;30261,92;23772,56;26465,71;123141,09;18750,97;61211,07;85201,76;92710,38;67901,71;2676317,5;3103224;399227,62;51548,93;81764,67;100740,22;412351;288794,28;425278,25;302058,84;7992,97;39030,19;100422,26;47834,61;27301,84;9426,65;19608,9;4764,15;26834,04;9110,59;11554,23;7145,23;1644,37;8255,28;15117,2;4540,02
4.59_347.08;855389,8;734797;847170,9;806478,3;1930078,4;1494655,2;1466019;1477196,9;1720737,2;1746028,9;1631370,2;1533458,8;693123,5;959869,25;824252,6;891272,3;1491021,6;1963156,2;2104344,2;1933105,9;1969820,1;1836821;1859799,1;1937522,5;3964,2;4300,33;3795,56;4218,72;4648,46;5371,27;3680,52;3963,65;3621,35;2837,96;2839,15;3359,36;2782,74;2578,84;2433,8;2718,91;2611,3;2402,61;3292,26;3219,86;2245,56;1832,43;1742,61;1759,72;17292,59;16490,06;28593,04;25827,22;15492,2;37256,12;36841,44;34121,86;26747,53;9746,23;14174,61;28401,26;13900,97;10224,61;9514;9632,16;60819,96;55260,6;63120,91;49006,02;30036,49;50290,53;33771,92;46817,14;46693,32;21750,78;24465,37;19336,51;80971,65;77491,21;75203,39;66413,88;26939,83;19829,07;38702,25;40578,57;31227,14;39615,33;48929,14;37795
4.07_305.07;7354,15;11934,08;5139,43;4789,75;26507,52;29817,63;30033,68;29769,69;71841,8;36566,01;21184,31;35365,16;7412,9;5152,75;4719,01;6226,52;29320,14;37501,59;25259,15;21621,34;29079,34;39455,89;62093,05;72874,42;2126667,5;1980472,5;1608314,8;1500471,4;1652765;2797955;1560022,2;1619923,5;1675321,2;2364137;2835505,2;2307578;1908669,1;1498042,5;1719583,2;1751609,6;2105268,8;2078892,4;1835822,6;1687436,6;956691,44;1305727,8;1731823,8;1712288,9;537490,94;529929,8;584230,2;553103,9;790834,3;599597,06;589667,75;590959,75;524095,6;517894,4;498931,78;510142,7;535276,7;553049,06;356887,88;373094,7;955627,7;902541,44;942340,8;830985,8;968973,75;860156,3;978056;882432,56;759071;891499,1;827077,25;730363,56;372237,97;508075,94;522889,1;440585,44;723018,44;609558,94;897669,2;980905,25;298934,44;439083,97;304610,34;344702,12
2.73_155.07;39554,09;44718,27;30114,71;26859,65;57666,86;59398,98;61881,66;61713,88;57765,39;54208,19;51281,17;44773,77;42357,74;33762,84;37238,18;39123,06;40035,94;48213,6;43130,7;40254,58;32628,99;37154,58;45724,26;47111,64;62175,28;69945,3;58137,95;59767,05;48631,82;104465,47;51544,58;51979,47;45700,15;55308,6;53458,85;57929,25;90891,68;69828,05;64071,36;85459,27;79031,54;57302,47;88243,25;81383,45;10213,98;38044,17;36220,72;38298,01;168507,45;251198,38;266059,22;275160;201654,89;188527,53;184907,22;185276,98;279443,66;179816,02;257356,56;274515;241291,47;187909,12;188803,05;204361,4;254441,05;215377,45;241738,12;208210,16;235790,89;186561,12;142855,62;193503,39;234858,92;250159,16;245243,19;218936,52;172191,73;170546,53;169046,19;129799,88;275645,8;223011,1;250541,38;267594,12;131571,86;152050,25;170315,9;153886,88
9.56_315.23;8956,62;14935,62;5311,11;6251,97;6490,04;9655,04;7197,33;10473,82;24305,81;9936,19;6083,55;9883,51;13436,84;11156,76;7073,79;5963,22;11672,28;10565,48;10153,08;21281,16;4274,35;13846,33;10873,93;11187,02;62754,34;52808,96;108631,59;38800,01;13716,12;65978,61;18798,98;19182,72;77579,05;41465,07;101794,28;32816,9;214911,53;75152,58;64383,56;151262;92720,09;81718,77;148776,12;116365,16;176697,06;66626,73;44611,68;43894,13;221828,12;154712,42;116766,89;111591,2;118915,76;82920,98;87018,3;120153,34;215807,2;153819,53;194671,8;189593,8;91585;97329,22;186944,67;179490,88;349564,25;172976,69;267546,66;200083,83;60097,18;143319,56;63848,1;150259,44;96128,39;49918;52288,26;52468,34;142668,47;176322,11;159489,12;159810,66;59871,11;69630,54;69105,32;93248,98;97106,35;170784,81;171339,1;92676,27
3.31_376.16;19378,1;10975,68;11001,1;11033,97;16855,73;15494,96;17833,38;16940,17;22895,42;19226,94;21563,65;15443,5;9948;15434,04;12642,83;15044,57;19592,77;21715,64;19670,49;16869,69;23098,5;24354,17;18125,19;23418,53;24217,34;17324,09;12954,27;11457,44;8534,26;20997,09;9097,77;9321,58;18376,51;27895,25;27475,18;31753,49;11639,38;18809,32;10877,63;13782,27;12337,82;14318,18;12967,21;12890,12;2254,78;4972,35;10519,85;10107,6;56908,5;70062,48;55496,45;62673,68;52932,79;69383,54;65259,26;66326,09;97474,79;49861,29;70286,05;100620,08;82218;81278,42;45856,44;54202,54;100191,43;71761,94;82713,25;63030,75;78390,16;61471,14;47370;62318,48;73954,37;77680,11;71408,02;47760,07;47149,36;48845,51;49036,52;41634,98;71727,7;60310,3;67636,36;68742,05;39206,38;45018,69;35373,22;51264,5
6.86_301.07;72691,94;104348,86;75097,66;64473,13;229945,11;36587,34;37226,85;64644,52;79615,51;174251,47;97382,09;140880,42;137762,33;107457,43;100701,16;117531,56;15437,2;66396,98;61863,92;41622,4;25023,51;112470,3;159232,52;282631,94;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302;1514,302
