identifier;N  A2 Gal1;N  A2 Gal2;N  A2 Gal3;N  A2 Gal4;N  A2 homo1;N  A2 homo2;N  A2 homo3;N  A2 homo4;N  A2 sin1;N  A2 sin2 ;N  A2 sin3;N  A2 sin4;N  B16 Gal1;N  B16 Gal2;N  B16 Gal3;N  B16 Gal4;N  B16 homo1;N  B16 homo2;N  B16 homo3;N  B16 homo4;N  B16 sin1;N  B16 sin2;N  B16 sin3;N  B16 sin4;R  A2 Gal1;R  A2 Gal2;R  A2 Gal3;R  A2 Gal4;R  A2 homo1;R  A2 homo2;R  A2 homo3;R  A2 homo4;R  A2 sin1;R  A2 sin2 ;R  A2 sin3;R  A2 sin4;R  B16 Gal1;R  B16 Gal2;R  B16 Gal3;R  B16 Gal4 (1);R  B16 homo1;R  B16 homo2;R  B16 homo3;R  B16 homo4 (3);R  B16 sin1;R  B16 sin2;R  B16 sin3;R  B16 sin4 (3);RS  A2 Gal1;RS  A2 Gal2;RS  A2 Gal3;RS  A2 Gal4 (3);RS  A2 homo1;RS  A2 homo2;RS  A2 homo3 (2);RS  A2 homo4 (2);RS  B16 Gal1;RS  B16 Gal2;RS  B16 Gal3;RS  B16 Gal4 (1);RS  B16 homo1;RS  B16 homo2;RS  B16 homo3;RS  B16 homo4 (3);S  A2 sin1;S  A2 sin2;S  A2 sin3;S  A2 sin4 (2);S  B16 sin1;S  B16 sin2;S  B16 sin3;S  B16 sin4 (2);SS  A2 Gal1;SS  A2 Gal2;SS  A2 Gal3;SS  A2 Gal4 (3);SS  A2 homo1;SS  A2 homo2;SS  A2 homo3 (1);SS  A2 homo4 (2);SS  B16 Gal1;SS  B16 Gal2;SS  B16 Gal3;SS  B16 Gal4 (3);SS  B16 homo1;SS  B16 homo2;SS  B16 homo3 (1);SS  B16 homo4 (2)
5.63_373.13;10979,65;699,3019561;7964,57;6820,251575;4830,22;3625,324669;7904,555026;23,61320791;12425,17;11801,78;6592,86;10727,98949;19149,12266;4294,97;236,1320791;4701,24;16235,77;20435,79;8224,44;23,61320791;10124,26;18892,45;7476,480275;16232,44;103442,0226;96173,98667;109634,7921;106700,6718;116679,92;237308,34;132223,8656;122175,45;125036,7672;191077,03;197176,84;171506,1;202064,72;115089,07;151185,05;151573,88;141234,5075;140636,7118;161197,6;175900,4872;188720,94;83564,73;122624,38;126638,79;7045,763278;335569,56;573681,06;462294,1;606403,3;34869,23;38846,22;35782,43;151507,4;51567,01973;85288,38;117663,22;93029,13;63917,14;2646112,336;2474851,8;248296,08;26606,14866;21486,91494;27543,1365;87581,21;130154,28;95912,12;129347,2;2193,9;13119;18312,7;20096,236;27186,83157;28569,85;25223,29;26435,50287;28042,02948;10817,31278;15290,14013;17198,19;27511,64132;40162,75207;123320,1438;26082,76
4.82_193.12;16347,52;9528,11;14341,09;12158,38;69624,98;36344,54;33027,38;36974,31;17783,15;17344,15;15727,57;7651,64;10935,38;19404,86;11553,32;14426,68;25192,93;33086,27;38866,19;27249,88;30384,61;12771,19;7413,53;8635,61;102400,97;138927,17;155427,38;123968,55;98914,52;106250,82;102249,54;103628,12;72459,68;58607,17;77808,47;60265,38;169764,19;98200,41;95160,48;159632,6;90436,57;77102,13;154557,5;160960,02;140265,14;52052,09;54004,5;52278,61;3921,2;4447,54;4956,72;5723,55;3273,85;3615;3347,31;3440,93;5504,16;3920,09;4574,21;5716,27;6576,7;3863,33;5989,1;8886,09;10141,24;5801,27;6407,47;5568,99;23089,22;14636,08;9547,68;14516,09;3840,71;4347,34;6206,97;4343,8;3746,69;2620,49;3616,88;1890,79;4298,29;2816,34;3811,68;3838,25;2136,68;4432,18;2452,72;2811,39
4.51_153.13;227234,05;397693,8;300302,66;281189,8;223352,88;167176,23;175839,4;170017,47;300106,56;312152,94;201296,9;312731,2;454367,88;197689,28;277616,75;316400,6;262470,94;219377,2;199778,8;194871,4;164972,17;383691,16;544472,6;559956,3;59107,49;57830,48;66246,77;60827,4;34845,71;48304,96;33541,54;35604,31;33055,84;58776,49;65547,35;62530,07;122584,04;69071,19;64895,34;111416,01;68991,25;59205,38;53817,56;53159,05;34034,36;35608,32;31044,05;30382,05;781882,3;1433423,9;765398,5;759132,2;1032114,06;1079586,1;1089940,6;1092009,8;888733,5;1054145,4;803878,5;854923,9;763678,06;729181,06;1401102,9;1440631,5;1109656,5;689722,1;776632,7;635737,6;1012054,3;582995,6;413335,88;582701,2;570890,1;693529,8;761887,5;682257,9;793370,5;696578,8;779672,25;636069;681029,7;483500,47;566819,5;648452,5;697772,44;586497,25;846460,75;804155,7
3.74_373.19;97368,87;348691,88;115692,32;97744,42;102342,91;52726,52;60335,74;58473,03;142305,27;130591,33;115740,1;106239,45;317727,12;58062,88;105628,55;130994,81;106340,57;88782,14;66280,27;53015,47;108662,53;112610,43;261902,1;286237,2;8692,86;15024,46;10806,55;9175,75;15682,78;18745,07;16159,58;17088,1;12597,7;18442,52;11305,93;20552,42;30937,85;19017,64;8248,72;29034,29;9893,06;7967,31;8650,72;18173,76;7653,19;10104,78;10590,14;11946,51;14359,57;18349,77;15676,8;17103,96;19397,07;17417,72;16033,98;16469,2;19367,48;17574,21;17709,72;19858,43;18092,19;13605,68;26403,48;29865,66;19705,79;15325,83;17658,2;14251,55;14943,74;14395,2;10892,64;15988,43;30498,51;34149,75;40525,16;32237,33;14727,57;16351;15001,43;13888,97;39269,52;23729,48;28639,21;31583,81;15073,14;13422,78;28233,43;19118,92
4.26_167.11;49370,75;39291,12;38540,68;35070,73;27624,7;29796,93;33354,61;31789,83;37136,57;35036,65;29953,58;29138,79;58202,29;52724,78;38426,5;49891,04;46368,58;30212,75;32184,97;29648,02;27177,11;44009,52;47822,36;54324,52;138135,17;156191,05;165122,84;143244,97;105596,6;146274,92;103513,85;107592,95;83788,83;128461,39;116108,64;140632,06;283525,47;247844,3;194109,58;292415,72;246141,42;237472,4;226240,78;216691,6;153880,48;142224,22;160062,8;163986,03;65434,55;100801,03;77504,89;95215,32;66527,18;62194,11;60272,38;59810,69;136428,02;82135,83;101554,12;139777,34;102060,65;81614,55;144267,52;158658,12;95470,34;72909,51;68245,26;67326,22;90372;107778,36;70438,89;103274,04;81807,05;80199,06;109585,79;85070,61;93321,62;59935,88;90487,05;50605,13;95726,98;62034,37;78770,33;73578,55;52156,92;55408,03;66099,88;66548,59
4.84_135.12;195637,03;400143,72;213716,25;206576,8;240179,52;167861,62;188146,53;174766,11;351310,2;387580,06;210627,94;348894,38;449626,12;161520,83;203463,92;233243,8;253173,7;261013,56;221074,2;206403,38;241015,25;468751,25;490155,75;523834,75;34284,64;35013,77;30321,56;27991,81;24972,58;41779,25;26344,69;26067,66;32736,01;36302,93;45230,96;38852,58;55700,29;44281,44;34260,55;57416,39;47526,24;51359,36;35201,14;35841,14;29778,61;24716,66;28428,92;28210,38;115178,13;131698,8;62668,84;70789,98;85220,02;102653,3;94527,41;94381,54;91080,99;61962,9;59516,36;92639,45;70728,02;73766,95;109855,27;118053,98;112902,84;84780,37;95223,47;72668,81;57887,95;106123,66;70478,26;104064,62;135660,28;114366,48;171274,53;134443,11;124590,74;92695,89;121432,79;86224,12;156293,22;91971,22;129055,42;125525,35;91095,2;89836,34;120542,01;116284,81
3.25_291.09;335760,78;370722,72;390191,4;361661,78;292555;237646,81;251479,9;248112,42;391598,38;355174,88;234650,22;289102,47;356936,66;367506,62;357851,16;414607,06;139925,75;237795,56;202859,89;178502,31;173478,36;351278,66;486244,2;510784,9;73070,68;74161,07;52045,2;49378,27;71842,49;100491,12;82212,8;84387,99;50500,28;67342,15;61338,35;59488,19;135066,98;173648,08;121204,94;130725;136809,8;126798,35;138322,61;134472;86811,02;75013,79;115119,64;120203,17;158377,5;226716,94;196421,42;220445,4;215768,33;325025,03;306875,56;349176,03;116758,31;123439,71;166347,16;134417,83;112949,99;157241,19;99922,48;101248,48;336284,5;176641,27;252217,22;169308,95;828498,94;101864,34;214618,47;108343,7;25086,52;39037,87;242357,56;224485,11;131733,34;94975,09;149831,4;83162,86;17371,68;38291,71;36210,21;34245,79;65758,54;79564,13;83345,83;89920,59
5.94_245.08;25,5;19,8548093;25,5;19,8548093;25,5;520,5697414;490,0419671;512,1139285;284,47;25,5;25,5;19,8548093;19,8548093;25,5;19,8548093;25,5;843,7;25,5;503,26;746,782202;272,01;255;690,6748468;660,83;19,8548093;19,8548093;19,8548093;19,8548093;25,5;25,5;19,8548093;25,5;19,8548093;25,5;25,5;25,5;281,47;25,5;25,5;25,5;413,6107157;19,90993127;565,78;596,321961;25,5;25,5;25,5;25,5;17293,5389;9012,02;11285,13;9303,4;10383,89;12932,28;11922,54;11434,85;12002,61;9929,133189;8257,45;13019,11;14254,83;5905,7;9921,183479;7791,19;11030,45;3634,101196;4843,235226;3823,608031;9042,78;2834,45;3957,24;1944,36;25,5;1579,28;2871,98;3474,825214;7709,695358;2561,7;5825,35;3025,491414;1920,722781;1180,769402;603,1850314;512,67;778,4097453;2235,262218;5893,584801;334,77
4.84_357.13;7943,82;12329,94;12829,69;11233,94;17305,87;9806,97;9448,02;9992,19;25858,19;29330,85;12680,41;25815,31;18034,32;7541,65;8879,06;9378,63;18019,36;14833,41;16936,06;15874,18;10469,48;20518,9;13468,93;14394,7;154342,73;148040,44;126840,29;117268,66;160531,44;154729,17;137621,23;157032,77;154810,42;184964,05;187523,34;188685,08;119591,4;122593,02;113640,24;109739,99;111322,92;120562,15;132589,12;121517,74;146497;173314,12;140782,9;140770,88;27304,5;24154,05;39289,56;38051,76;46709,75;43796,31;40152,18;41613,12;11638,99;12472,83;14967,36;8708,18;19748,69;31052,9;27312,36;35953,54;44804,96;73694,95;76079,26;69790,34;23977,18;30617,86;44821,44;32111,67;61929,9;58085,25;55942,42;45978,17;68578,12;52644,35;77245,58;48921,21;43849,89;29064,83;56971,39;60208,36;20096,27;32324,53;19987,15;27410,1
4.87_355.12;7384,12;16508,2773;11128,36;12419,84505;16528,13;9757,447485;8205,179373;9295,609048;23561,94;26063,03;10206,74;27556,23289;19756,67204;6312,5;8957,01058;8440,23;15098,61;12071,32;14267,62;16210,61867;9768,04;18507,35;14151,95525;13554,01;70125,90953;83518,8271;77769,60623;74484,38276;75503,93;65149,66;83152,95357;75898,84;77553,97521;59551,33;62487,66;57699,38;65756,89;78117,47;68191,68;69318,91;70718,01887;75456,55482;75237,14;77741,32484;74692,38;84699,51;68457,4;66469,83;1835,75231;1652,61;1916,12;1634,16;2092,72;1948,65;1811,36;1674,16;1893,53;1101,435813;930,13;1907,04;1579,41;1030,85;20,11097528;575,55;2193,23;1424,442369;895,7907507;2257,912273;1232,66;1370,58;277,81;1337,84;2437,33;1902,29;307,33;2384,80397;1048,956681;2255,39;1934,09;2520,167052;210,6236494;2052,668048;343,3174854;3011,9;2011,198748;1893,666063;3141,054191;1588,22
